"","OK","RM","IN","Target"
"X334",5.9,6.66666666666667,4.66666666666667,1
"X335",5.05,1.33333333333333,3.66666666666667,1
"X336",2,1,2.66666666666667,0
"X337",1.65,1.33333333333333,2.33333333333333,1
"X338",2.4,3.66666666666667,1.33333333333333,0
"X339",1,1.33333333333333,1.33333333333333,0
"X340",3.45,4,4.33333333333333,0
"X341",5.9,5,4.66666666666667,1
"X342",1.95,1,1.33333333333333,0
"X343",3.1,2,4,1
"X344",3.4,2,2.66666666666667,1
"X345",2.45,2.66666666666667,2.33333333333333,1
"X346",1.7,1.33333333333333,2,0
"X347",2.6,2,2,0
"X348",3.3,5,3.66666666666667,1
"X349",1.4,2.33333333333333,1,0
"X350",1.95,1.33333333333333,1,0
"X351",4.4,5.33333333333333,4.66666666666667,1
"X352",2,2,2,0
"X353",2.8,3,5,1
"X354",4,3.66666666666667,2.66666666666667,0
"X355",2.35,1,1.33333333333333,1
"X356",2.35,2.66666666666667,1.66666666666667,1
"X357",1.05,1.66666666666667,1,0
"X358",5.8,3.66666666666667,1.66666666666667,0
"X359",4.05,2.33333333333333,1.66666666666667,1
"X360",1,4,1,0
"X361",2.5,1.66666666666667,1.33333333333333,0
"X362",2.7,4.33333333333333,2.66666666666667,1
"X363",2.25,2.33333333333333,1,0
"X364",7,6,4.33333333333333,1
"X365",1,1,1.33333333333333,0
"X366",1.85,2.66666666666667,3,1
"X367",4.75,7,4.33333333333333,1
"X368",3.85,3.66666666666667,4,0
"X369",2.85,2.33333333333333,2.66666666666667,1
"X370",3.5,5.33333333333333,3.33333333333333,0
"X371",2,3.33333333333333,2,0
"X372",1.75,1.66666666666667,1.66666666666667,1
"X373",3.8,1.66666666666667,2.33333333333333,1
"X374",2.45,1.33333333333333,4.66666666666667,1
"X375",2.15,2.66666666666667,2,0
"X376",1.35,2,2,0
"X377",4.2,3.33333333333333,3.66666666666667,1
"X378",3.95,3.33333333333333,2.66666666666667,1
"X379",3.2,1,1,0
"X380",3.15,3,3.66666666666667,1
"X381",5.05,4,4,1
"X382",3.7,2,1.66666666666667,0
"X383",5.95,6.33333333333333,1,1
"X384",2.35,2.66666666666667,1.33333333333333,0
"X385",2.75,6,3.33333333333333,0
"X386",3.3,5.33333333333333,6.33333333333333,1
"X387",3.4,5,5.66666666666667,1
"X388",1,1,1,0
"X389",6,2.33333333333333,2.33333333333333,0
"X390",4.15,5.33333333333333,3,0
"X391",4.8,1,1,0
"X392",2.4,2.66666666666667,3,1
"X393",2.75,2,1.33333333333333,0
"X394",4.45,5,4,0
"X395",1.05,1,1,0
"X396",1,1,1,0
"X397",4.45,3.66666666666667,4,0
"X398",4.35,3.66666666666667,3.66666666666667,1
"X399",1.15,1,2,0
"X400",1.05,2.66666666666667,1.66666666666667,0
